epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6697,2.74318,3.14958,3.10271,0.01712,0.49813,0.5599,0.40379,0.11852,2.34136,2.61965,2.82717,0.00215,0.000660317,0.000660317,0.000660317
2,75.3576,2.31986,2.01878,2.53231,0.00954,0.45911,0.57372,0.43183,0.13757,2.17952,1.92259,2.4443,0.00204,0.00132261,0.00132261,0.00132261
3,112.226,2.24462,1.8681,2.13929,0.00907,0.47019,0.65385,0.46565,0.14874,2.13539,1.78655,2.20337,0.00202,0.00198049,0.00198049,0.00198049
4,149.275,2.1813,1.7544,2.04751,0.00927,0.48008,0.55935,0.46279,0.14389,2.09384,1.72435,2.00771,0.00235,0.0019802,0.0019802,0.0019802
5,185.326,2.12745,1.71549,1.85982,0.00787,0.46601,0.62821,0.48302,0.15697,2.01132,1.69458,2.00016,0.00181,0.0019736,0.0019736,0.0019736
6,223.298,2.07288,1.66144,1.82044,0.00826,0.46093,0.55908,0.45084,0.1443,2.00214,1.73149,1.81639,0.00182,0.001967,0.001967,0.001967
7,260.195,1.9994,1.59992,1.74896,0.00642,0.56923,0.66026,0.61553,0.21943,1.92697,1.56778,1.82306,0.00177,0.0019604,0.0019604,0.0019604
8,296.416,2.01387,1.61647,1.76703,0.007,0.61755,0.74008,0.66601,0.22388,1.93142,1.61046,1.72641,0.00157,0.0019538,0.0019538,0.0019538
9,331.866,1.9494,1.53656,1.72475,0.00601,0.57772,0.68843,0.57304,0.19381,1.92628,1.60096,1.72857,0.00169,0.0019472,0.0019472,0.0019472
10,366.464,1.93596,1.52266,1.70755,0.006,0.59001,0.6642,0.60972,0.21071,1.9035,1.53828,1.64714,0.00162,0.0019406,0.0019406,0.0019406
11,406.759,1.94644,1.52833,1.60352,0.00651,0.52895,0.66667,0.54618,0.19585,1.87532,1.56367,1.60706,0.00161,0.001934,0.001934,0.001934
